"UniqueCarrier","AllFlights","DelayedFlights","Fraction"
"9E",250186,106775,0.426782473839463
"AA",613836,315224,0.513531301520276
"AQ",45957,12785,0.27819483430163
"AS",157123,76651,0.487840736238488
"B6",187116,87837,0.469425383184762
"CO",319138,146090,0.457764352725153
"DL",468323,217610,0.464657939071965
"EV",276617,150573,0.544337477450771
"F9",97248,49315,0.507105544587035
"FL",259869,114196,0.439436793153474
"HA",55935,14379,0.257066237597211
"MQ",516205,249922,0.484152613787158
"NW",405872,232834,0.57366361808649
"OH",224471,119104,0.530598607392492
"OO",582871,275732,0.473058361112493
"UA",477090,233395,0.48920539101637
"US",475583,259400,0.545435812465963
"WN",1156958,490314,0.423795850843332
"XE",422305,177060,0.419270432507311
"YV",282585,124259,0.439722561353221
