"UniqueCarrier","Sum","Fraction"
"AA",698548,0.0979831034594005
"AS",166992,0.0234234360600735
"B6",89834,0.0126007291069072
"CO",299329,0.0419859256277291
"DH",264955,0.037164394110477
"DL",687638,0.0964527925018971
"EV",278861,0.0391149444473277
"FL",162558,0.0228014929999846
"HA",48077,0.00674360769054896
"HP",195939,0.0274837395694089
"MQ",483088,0.0677612153839033
"NW",507286,0.0711553917862558
"OH",373346,0.0523680545132952
"OO",463448,0.0650063751267661
"TZ",75533,0.0105947733779195
"UA",555812,0.0779619792769807
"US",419919,0.0589007009132772
"WN",990404,0.138920815174625
"XE",367703,0.0515765288732226
