"","UniqueCarrier","AllFlights_sum","CancelledFlights_sum","Fraction"
"1","9E",347210,12036,0.0346649002044872
"2","AA",14584281,280233,0.019214728514899
"3","AQ",154381,2837,0.0183766137024634
"4","AS",2776804,55786,0.0200900027513645
"5","B6",682728,6978,0.0102207614159665
"6","CO",7950035,110446,0.0138925174543257
"7","DH",693047,22176,0.0319978298730101
"8","DL",16247348,254620,0.0156714806625672
"9","EA",919785,28702,0.031205118587496
"10","EV",1508980,45996,0.0304815173163329
"11","F9",271876,1573,0.00578572584560609
"12","FL",1090310,11521,0.0105667195568233
"13","HA",230824,871,0.00377343777076907
"14","HP",3636682,55431,0.0152421905462177
"15","ML (1)",70622,1342,0.0190025771006202
"16","MQ",3632062,148107,0.0407776629363706
"17","NW",10067774,212655,0.0211223454161764
"18","OH",1338503,43330,0.0323719857183734
"19","OO",2718878,59727,0.0219675174833148
"20","PA (1)",316167,3521,0.0111365196241227
"21","PI",873957,8910,0.0101950095942935
"22","PS",83617,1151,0.0137651434516904
"23","TW",3757747,69088,0.0183854847066607
"24","TZ",208420,2307,0.0110689952979561
"25","UA",13004338,284581,0.0218835437836205
"26","US",13775480,287458,0.0208673672351163
"27","WN",15173234,147044,0.00969101247631191
"28","XE",2114556,45924,0.0217180344242479
"29","YV",684812,25981,0.0379388795757084
