"UniqueCarrier","AllFlights","CancelledFlights","Fraction"
"9E",258851,7939,0.0306701538723049
"AA",633857,17924,0.0282776714621752
"AQ",46360,388,0.00836928386540121
"AS",160185,2563,0.0160002497112713
"B6",191450,3710,0.0193784277879342
"CO",323151,2951,0.00913195379249948
"DL",475889,6521,0.0137027752269962
"EV",286234,8920,0.0311633139319578
"F9",97760,398,0.00407119476268412
"FL",263159,2602,0.00988755847225442
"HA",56175,238,0.00423676012461059
"MQ",540494,22792,0.0421688307363264
"NW",414526,7814,0.0188504460516349
"OH",233787,8851,0.0378592479479184
"OO",597882,14186,0.0237270899608953
"UA",490002,11929,0.0243447985926588
"US",485447,8942,0.0184201364927582
"WN",1168871,9993,0.00854927532636193
"XE",434773,10800,0.0248405489761324
"YV",294362,11287,0.0383439438514482
