"UniqueCarrier","DelayedFlights","DelayTime","Mean"
"9E",37508,1367552,36.4602751413032
"AA",108135,3943342,36.4668423729597
"AQ",1908,23174,12.1457023060797
"AS",20712,596470,28.7982811896485
"B6",28962,1158039,39.9847731510255
"CO",52665,1692220,32.1317763220355
"DL",69278,1910087,27.5713357775917
"EV",42731,1570756,36.7591678172755
"F9",16457,332725,20.2178404326426
"FL",43071,1313990,30.5075340716491
"HA",4700,71082,15.123829787234
"MQ",78286,2974772,37.9987737271032
"NW",66372,1903531,28.6797294039655
"OH",36113,1151635,31.8897626893363
"OO",85852,2846892,33.1604621907469
"UA",75799,2956927,39.0101056742173
"US",58005,1626907,28.0477027842427
"WN",181303,4806768,26.5123467344721
"XE",64745,2325865,35.9234689937447
"YV",36425,1493545,41.0032944406314
