"UniqueCarrier","AllFlights","DelayedFlights","Fraction"
"AA",662100,291822,0.440752152242864
"AS",155022,81540,0.525989859503812
"B6",109753,57337,0.522418521589387
"CO",293194,140013,0.477543878796974
"DH",133486,54817,0.410657297394483
"DL",639289,294988,0.46143137141418
"EV",290166,133545,0.460236554248258
"F9",53014,23017,0.434168332893198
"FL",192468,95538,0.496383814452273
"HA",48112,9992,0.207682075157965
"HP",195120,82647,0.423570110701107
"MQ",514335,225698,0.43881516910185
"NW",472740,235093,0.497298726572746
"OH",369336,139040,0.376459375744579
"OO",506998,198235,0.390997597623659
"TZ",43586,16815,0.385789014821273
"UA",478744,205345,0.428924435606504
"US",416461,182581,0.438410799570668
"WN",1025637,413039,0.402714605654827
"XE",393277,182120,0.463083272095749
