"UniqueCarrier","Sum","Fraction"
"AA",643597,0.0901153779052754
"AQ",35387,0.00495482868617159
"AS",159404,0.0223194820665922
"B6",155732,0.021805334754426
"CO",309389,0.0433201314716123
"DL",506086,0.0708613171636431
"EV",273143,0.0382450270389399
"F9",90181,0.01262699312594
"FL",237645,0.0332746563180052
"HA",52173,0.00730517639369346
"MQ",550088,0.077022403773102
"NW",432880,0.0606111352098217
"OH",278099,0.0389389578883667
"OO",548109,0.0767453074956573
"TZ",19602,0.00274463932818085
"UA",500008,0.0700102857466099
"US",504844,0.0706874143962928
"WN",1099321,0.153925091873028
"XE",441470,0.061813892674829
"YV",304764,0.0426725466898126
