"","UniqueCarrier","SumNumberOfFlights","Fraction"
"1","9E",347210,0.00291982998400413
"2","AA",14584281,0.122645145470873
"3","AQ",154381,0.00129825256404061
"4","AS",2776804,0.0233512732320573
"5","B6",682728,0.00574133718878826
"6","CO",7950035,0.0668550749312586
"7","DH",693047,0.00582811385306907
"8","DL",16247348,0.136630551686154
"9","EA",919785,0.00773484583346459
"10","EV",1508980,0.0126896260167119
"11","F9",271876,0.00228631576490051
"12","FL",1090310,0.00916885985386235
"13","HA",230824,0.00194109281480306
"14","HP",3636682,0.0305823367584117
"15","ML (1)",70622,0.000593889096311569
"16","MQ",3632062,0.0305434853010052
"17","NW",10067774,0.0846640027573434
"18","OH",1338503,0.0112560156478197
"19","OO",2718878,0.0228641499589562
"20","PA (1)",316167,0.00265877678221432
"21","PI",873957,0.00734945955856772
"22","PS",83617,0.000703169332025211
"23","TW",3757747,0.0316004215399947
"24","TZ",208420,0.00175268847460079
"25","UA",13004338,0.109358762750279
"26","US",13775480,0.115843609193425
"27","WN",15173234,0.12759789057778
"28","XE",2114556,0.017782160685625
"29","YV",684812,0.005758862391653
