"UniqueCarrier","AllFlights","CancelledFlights","Fraction"
"AA",643597,10127,0.0157350018722896
"AQ",35387,745,0.0210529290417385
"AS",159404,2430,0.0152442849614815
"B6",155732,659,0.00423162869545116
"CO",309389,1649,0.00532985982048489
"DL",506086,7695,0.0152049256450485
"EV",273143,6783,0.0248331460077688
"F9",90181,902,0.0100021068739535
"FL",237645,1941,0.00816764501672663
"HA",52173,253,0.00484925152856842
"MQ",550088,19990,0.0363396402030221
"NW",432880,4854,0.0112132692663094
"OH",278099,6875,0.0247214121589794
"OO",548109,12844,0.0234332952022317
"TZ",19602,227,0.0115804509743904
"UA",500008,10238,0.0204756723892418
"US",504844,5511,0.0109162434336151
"WN",1099321,8951,0.00814229874622608
"XE",441470,9716,0.0220082904840646
"YV",304764,9544,0.0313160347022614
