"UniqueCarrier","Sum","Fraction"
"9E",258851,0.034730113112261
"AA",633857,0.0850447759792251
"AQ",46360,0.00622013453254736
"AS",160185,0.0214920675171721
"B6",191450,0.0256869015585891
"CO",323151,0.0433572626041245
"DL",475889,0.063850163989634
"EV",286234,0.0384040980972641
"F9",97760,0.0131164873145347
"FL",263159,0.0353081187111871
"HA",56175,0.00753701590521674
"MQ",540494,0.0725182354192117
"NW",414526,0.0556170726324143
"OH",233787,0.0313672690241728
"OO",597882,0.0802179998832719
"UA",490002,0.0657437092583536
"US",485447,0.0651325635983935
"WN",1168871,0.156827758222458
"XE",434773,0.0583336184451945
"YV",294362,0.0394946341947737
